구,주소,상호,휘발유,경유,위도,경도
강서구,부산 강서구 낙동남로 432,해안주유소,1549,1399,35.1117866,128.8674669
강서구,부산 강서구 낙동남로 127 (송정동),신창에너지㈜직영 송정셀프주유소,1549,1409,35.1018859,128.8369645
강서구,부산 강서구 낙동북로 364,은마석유 경기장주유소,1557,1417,35.2119109,128.9680542
강서구,부산 강서구 낙동북로 209 (대저1동),동방석유㈜직영 대저주유소,1557,1417,35.2142058,128.9516934
강서구,부산 강서구 낙동북로 142,우리2주유소,1557,1417,35.2153294,128.9443642
강서구,부산 강서구 낙동북로 42 (강동동),서강주유소,1557,1417,35.2187726,128.9341666
강서구,부산 강서구 공항로 469 (대저2동),세기상사(주) 공항주유소,1569,1449,35.1497489,128.9523993
강서구,부산 강서구 공항로 483,은마석유(주)직영 강서주유소,1569,1429,35.1508022,128.9528603
강서구,부산 강서구 가락대로 706,부산신항주유소,1569,1429,35.1369115,128.8696791
강서구,부산 강서구 가락대로 834,㈜BSJ신항만물류주유소,1569,1429,35.1464424,128.8773419
강서구,부산 강서구 낙동북로 65 (강동동),(주)천일에너지 천일주유소,1569,1417,35.2185489,128.9368755
강서구,부산 강서구 생곡로 40 (녹산동),(주)경인에너지,1569,1429,35.1247053,128.8975213
강서구,부산 강서구 가락대로 845,OS신항주유소,1569,1429,35.1475143,128.8770028
강서구,부산 강서구 봉림길94번길 89(봉림동),CJ 성민제2주유소,1569,1429,35.1736199,128.895235
강서구,부산 강서구 르노삼성대로 572 (명지동),명지농협주유소,1569,1389,35.0986439,128.9277957
강서구,부산 강서구 생곡로 272,(주)시큐 국제산단주유소,1569,1429,35.1372944,128.8857959
강서구,부산 강서구 명지국제8로 272,지에스칼텍스㈜ 동성셀프주유소,1569,1489,35.0974374,128.9224725
강서구,부산 강서구 가락대로 1027,CJ대한통운㈜ 신항 P-OIL,1569,1429,35.1615189,128.8872092
강서구,부산 강서구  낙동남로 514,은마석유(주)신호주유소,1569,1429,35.1121623,128.8763404
강서구,부산 강서구 공항로 1217 (대저1동),공항대로주유소,1569,1429,35.2178733,128.9571586
