"시점","상품군별(1)",인터넷쇼핑,모바일쇼핑
"2017.01","합계",3390183,3920295
"2017.01","컴퓨터 및 주변기기",288391,133993
"2017.01","가전·전자·통신기기",307496,294626
"2017.01","서적",103851,47379
"2017.01","사무·문구",37233,15959
"2017.01","의복",397422,467093
"2017.01","신발",42529,61269
"2017.01","가방",43978,99665
"2017.01","패션용품 및 액세서리",56669,86770
"2017.01","스포츠·레저용품",104489,96891
"2017.01","화장품",273399,380746
"2017.01","아동·유아용품",76647,183143
"2017.01","음·식료품",281528,394322
"2017.01","농축수산물",116799,142230
"2017.01","생활용품",245410,346900
"2017.01","자동차 및 자동차용품",34744,45400
"2017.01","가구",83204,105397
"2017.01","애완용품",22849,30247
"2017.01","여행 및 교통서비스",603688,611775
"2017.01","문화 및 레저서비스",94242,70012
"2017.01","이쿠폰서비스",14216,74432
"2017.01","음식서비스",32810,150546
"2017.01","기타서비스",41810,23788
"2017.01","기타",86780,57713
"2017.02","합계",3298823,3850025
"2017.02","컴퓨터 및 주변기기",329143,146200
"2017.02","가전·전자·통신기기",328088,298786
"2017.02","서적",106649,47680
"2017.02","사무·문구",41550,18854
"2017.02","의복",382105,445567
"2017.02","신발",44976,73655
"2017.02","가방",53127,110077
"2017.02","패션용품 및 액세서리",58915,87970
"2017.02","스포츠·레저용품",106163,100947
"2017.02","화장품",300678,428550
"2017.02","아동·유아용품",81434,180770
"2017.02","음·식료품",223285,349797
"2017.02","농축수산물",66964,100582
"2017.02","생활용품",252296,354823
"2017.02","자동차 및 자동차용품",33549,43128
"2017.02","가구",96989,122186
"2017.02","애완용품",24296,37709
"2017.02","여행 및 교통서비스",552472,557968
"2017.02","문화 및 레저서비스",72901,50991
"2017.02","이쿠폰서비스",11707,69089
"2017.02","음식서비스",28759,145165
"2017.02","기타서비스",22608,18125
"2017.02","기타",80170,61409
"2017.03","합계",3585449,4161562
"2017.03","컴퓨터 및 주변기기",322089,151262
"2017.03","가전·전자·통신기기",349185,318541
"2017.03","서적",126052,59519
"2017.03","사무·문구",45751,24255
"2017.03","의복",478990,563752
"2017.03","신발",55799,97495
"2017.03","가방",54028,114633
"2017.03","패션용품 및 액세서리",63045,102632
"2017.03","스포츠·레저용품",128706,128655
"2017.03","화장품",353850,361445
"2017.03","아동·유아용품",95343,204856
"2017.03","음·식료품",249069,392601
"2017.03","농축수산물",72315,121835
"2017.03","생활용품",266119,353374
"2017.03","자동차 및 자동차용품",37139,44158
"2017.03","가구",102935,137752
"2017.03","애완용품",25187,40078
