구,주소,상호,휘발유,경유
강서구,부산 강서구 낙동남로 432,해안주유소,1549.0,1399.0
강서구,부산 강서구 낙동남로 127 (송정동),신창에너지㈜직영 송정셀프주유소,1549.0,1409.0
강서구,부산 강서구 낙동북로 364,은마석유 경기장주유소,1557.0,1417.0
강서구,부산 강서구 낙동북로 209 (대저1동),동방석유㈜직영 대저주유소,1557.0,1417.0
강서구,부산 강서구 낙동북로 142,우리2주유소,1557.0,1417.0
강서구,부산 강서구 낙동북로 42 (강동동),서강주유소,1557.0,1417.0
강서구,부산 강서구 공항로 469 (대저2동),세기상사(주) 공항주유소,1569.0,1449.0
강서구,부산 강서구 공항로 483,은마석유(주)직영 강서주유소,1569.0,1429.0
강서구,부산 강서구 가락대로 706,부산신항주유소,1569.0,1429.0
강서구,부산 강서구 가락대로 834,㈜BSJ신항만물류주유소,1569.0,1429.0
강서구,부산 강서구 낙동북로 65 (강동동),(주)천일에너지 천일주유소,1569.0,1417.0
강서구,부산 강서구 생곡로 40 (녹산동),(주)경인에너지,1569.0,1429.0
강서구,부산 강서구 가락대로 845,OS신항주유소,1569.0,1429.0
강서구,부산 강서구 봉림길94번길 89(봉림동),CJ 성민제2주유소,1569.0,1429.0
강서구,부산 강서구 르노삼성대로 572 (명지동),명지농협주유소,1569.0,1389.0
강서구,부산 강서구 생곡로 272,(주)시큐 국제산단주유소,1569.0,1429.0
강서구,부산 강서구 명지국제8로 272,지에스칼텍스㈜ 동성셀프주유소,1569.0,1489.0
강서구,부산 강서구 가락대로 1027,CJ대한통운㈜ 신항 P-OIL,1569.0,1429.0
강서구,부산 강서구  낙동남로 514,은마석유(주)신호주유소,1569.0,1429.0
강서구,부산 강서구 공항로 1217 (대저1동),공항대로주유소,1569.0,1429.0
강서구,부산 강서구 가락대로 389 (송정동),CJ대한통운㈜ 성민주유소,1569.0,1429.0
강서구,부산 강서구 가락대로 546 (구랑동),구랑주유소,1569.0,1429.0
강서구,부산 강서구 호계로 200 (죽동동),(주)우양네트웍스 송산주유소,1575.0,1448.0
강서구,부산 강서구 가락대로 963,(주)범방주유소,1579.0,1439.0
강서구,부산 강서구 르노삼성대로 604 (명지동),대양석유(주)한마음주유소,1579.0,1439.0
강서구,부산 강서구 공항로 381 (대저2동),맥도주유소,1579.0,1439.0
강서구,부산 강서구 호계로 1 (죽림동),오봉주유소,1588.0,1449.0
강서구,부산 강서구 가락대로 1417,제일주유소,1588.0,1458.0
강서구,부산 강서구 신항남로 507,내트럭(주) 부산신항남컨사업소,1589.0,1499.0
강서구,부산광역시 강서구  낙동남로 448 (녹산동),부산축산업협동조합 농협주유소,1589.0,1446.0
강서구,부산 강서구 낙동남로 501 (녹산동),㈜도감에너지,1589.0,1439.0
강서구,부산 강서구 평강로 309 (대저1동),평강주유소,1596.0,1446.0
강서구,부산 강서구 공항로 1423 (대저1동),이왕주유소,1598.0,1468.0
강서구,부산 강서구 가락대로 1361 (봉림동),금룡주유소,1598.0,1468.0
강서구,부산 강서구 낙동남로 700,녹산주유소,1599.0,1429.0
강서구,부산 강서구 공항로 799 (대저2동),(주)우양네트웍스 구도일주유소 삼광,1599.0,1459.0
강서구,부산 강서구 공항진입로 25 (대저2동),김해공항주유소,1599.0,1459.0
강서구,부산 강서구 가락대로1243번길 68,신항만주유소,1599.0,1435.0
강서구,부산 강서구 녹산산업북로 119 (송정동),녹산화물터미널주유소,1628.0,1498.0
강서구,부산 강서구 생곡로 337 (생곡동),유성주유소,1628.0,1468.0
강서구,부산 강서구 낙동남로 667 (녹산동),우리들주유소,1628.0,1465.0
강서구,부산 강서구 대저로 283 (대저1동),명품주유소,1658.0,1508.0
강서구,부산 강서구 체육공원로 66 (대저1동),(주)시큐 대저고속주유소,1658.0,1429.0
강서구,부산 강서구 과학산단로 297 (지사동),(주)소모 과학셀프주유소,1659.0,1499.0
강서구,부산광역시 강서구 남해2지선고속도로 19,서부산주유소(순천방향),1668.0,1528.0
강서구,부산 강서구 낙동남로 1042,명지주유소,1678.0,1558.0
강서구,부산 강서구 명지국제2로28번길 36,(주)서호주유소,1678.0,1518.0
강서구,부산 강서구 가락대로210번길 102,만선주유소,1698.0,1558.0
강서구,부산 강서구 가락대로 649,비케이원(주) 미래드림주유소,1709.0,1559.0
강서구,부산 강서구 거가대로 2571,대양산업(주)대양가덕주유소,1788.0,1638.0
강서구,부산 강서구 르노삼성대로 372,광신석유(주)직영 명지주유소,1899.0,1897.0
사하구,부산 사하구 장평로 177 (장림동),서부산농협주유소,1559.0,1389.0
사하구,부산 사하구 장평로 152 (장림동),새마당주유소 (주)지오에너지,1569.0,1389.0
사하구,부산 사하구 다대로 292 (장림동),장림대흥주유소,1569.0,1389.0
사하구,부산 사하구 다대로 575 (다대동),전진알뜰주유소,1574.0,1434.0
사하구,부산 사하구 을숙도대로 564,부영석유 도매주유소,1574.0,1434.0
사하구,부산 사하구 감천로 79 (감천동),에스씨(주) 감천주유소,1574.0,1434.0
사하구,부산 사하구 을숙도대로 583,사하주유소,1574.0,1434.0
사하구,부산 사하구 을숙도대로 530 (신평동),광신홀딩스㈜ 직영 을숙도대로주유소,1574.0,1434.0
사하구,부산 사하구 감천항로 445 (구평동),동원주유소(주),1574.0,1465.0
사하구,부산 사하구 다대로 581 (다대동),토성셀프주유소,1574.0,1434.0
사하구,부산 사하구 사하로 150,회화에너지,1574.0,1434.0
사하구,부산광역시 사하구  사하로 129,대양석유(주) SK괴정주유소,1574.0,1434.0
사하구,부산 사하구 하신중앙로 165,극동유화(주) 부산주유소,1595.0,1475.0
사하구,부산 사하구 하신중앙로 240,남성주유소,1597.0,1497.0
사하구,부산 사하구 낙동대로 339,(주)천일에너지 대진주유소,1597.0,1477.0
사하구,부산 사하구 다대로 280 (장림동),㈜대로주유소 오일,1599.0,1379.0
사하구,부산 사하구 낙동대로 312 (괴정동),조은셀프주유소,1618.0,1498.0
사하구,부산 사하구 하신중앙로 166 (신평동),신평주유소,1637.0,1517.0
사하구,부산 사하구 을숙도대로 821,대창제1주유소,1639.0,1479.0
사하구,부산 사하구 을숙도대로 712,다대로주유소,1648.0,1508.0
사하구,부산 사하구 감천항로 20,인도에너지(주),1658.0,1498.0
사하구,부산 사하구 장림로 287 (장림동),장림주유소,1678.0,1478.0
사하구,부산 사하구 하신중앙로 55 (신평동),대호주유소,1685.0,1528.0
사하구,부산 사하구 장림번영로 7 (장림동),SK에너지(주)국영,1699.0,1589.0
사하구,부산 사하구 을숙도대로 728,선경주유소,,1419.0
사하구,부산 사하구 감천항로 225,비에스에너지㈜메가오션주유소,,
서구,부산 서구 충무대로 240,피치스주유소 빙고점,1528.0,1388.0
서구,부산 서구 충무대로 126,충무대로 셀프주유소 와이케이에너지㈜,1528.0,1388.0
서구,부산 서구 충무대로 108 (암남동),남항대교주유소,1528.0,1388.0
서구,부산 서구 보수대로 220 (동대신제3동),(주)디시에너지 운동장,1578.0,1438.0
서구,부산 서구 대영로 91,(주)디시에너지 대신지점,1588.0,1468.0
서구,부산 서구 대영로 88,고려주유소 대신점,1589.0,1469.0
서구,부산 서구 충무대로 150 (남부민동),남부주유소 (송도아랫길),1599.0,1449.0
서구,부산 서구 구덕로 273 (서대신동1가),(주)부영에너지직영신일주유소,1698.0,1589.0
서구,부산 서구 원양로 260,㈜한국페트로 스타2주유소,1868.0,1434.0
서구,부산 서구 감천로 227,피치스주유소 송도점,1888.0,1408.0
수영구,부산 수영구 광남로 241 (민락동),마린타이거주유소,1563.0,1433.0
수영구,부산 수영구 광남로 83,(주)경인에너지 광안리주유소,1563.0,1433.0
수영구,부산 수영구 광남로 176,(주)세왕에너지 세진주유소,1563.0,1433.0
